,p_id,name,price,colour,brand,ratingCount,avg_rating,Occasion,Border,Fabric,Ornamentation,Pattern,Print or Pattern Type,Sustainable,Technique,Wash Care,Wedding,AddOns
623,13936018,SASSAFRAS Women Blue Washed High-Rise Pure Cotton Denim Shorts,1499,Blue,sassafras,459,4.117647059,Casual,,Cotton,,Washed,Washed,Regular,,Machine Wash,,
624,10308583,SASSAFRAS Women Maroon Solid Basic Jumpsuit,1499,Maroon,sassafras,3026,4.048248513,,,Polyester,,Solid,,,,Dry Clean,,
625,15301318,SASSAFRAS Women Black Solid Twisted Pencil Skirt,1499,Black,sassafras,181,3.690607735,Casual,,Polyester,,Solid,Solid,Regular,,Machine Wash,,NA
626,15301348,SASSAFRAS Women White & Blue Floral Scuba Sleeveless Blazer,2299,White,sassafras,15,4.866666667,Casual,,Polyester,,Printed,,Regular,,Dry Clean,,
627,14498214,SASSAFRAS Women White & Green Printed Longline Tie-Up Shrug,1599,White,sassafras,78,4.269230769,Casual,,Polyester,,Printed,,Regular,,Machine Wash,,
628,17985404,SASSAFRAS Women Stylish Green Colourblocked Joyful Jumpsuit,2299,Green,sassafras,18,4.277777778,Casual,,Polyester,,Colourblocked,,Regular,,Machine Wash,,
629,14087406,SASSAFRAS Grey & White Polka Dot Print Cotton Linen Front Slit Midi A-Line Skirt,1699,Grey,sassafras,218,4.279816514,Casual,,,,Printed,Geometric,Regular,,Machine Wash,,NA
630,12221918,SASSAFRAS Women Black Solid Cropped Basic Tube Jumpsuit,1799,Black,sassafras,657,4.079147641,,,Polyester,,Solid,,,,Machine Wash,,
631,10833328,SASSAFRAS Pink & Rust Red Printed A-Line Panelled Skirt,1499,Pink,sassafras,1266,4.423380727,Casual,,,,Printed,Floral,Regular,,Machine Wash,,NA
632,17787828,SASSAFRAS Women Blue Wide Leg High-Rise Light Fade Cotton Cropped Jeans,2299,Blue,sassafras,49,3.632653061,Casual,,Cotton,,,,Regular,,Machine Wash,,NA
633,12221880,SASSAFRAS Women Black Regular Fit High-Rise Clean Look Jeans,1999,Black,sassafras,1408,4.208806818,Casual,,Cotton,,,,Regular,,Machine Wash,,NA
634,16044098,SASSAFRAS Women Blue Ribbed Trousers,1899,Blue,sassafras,112,4.160714286,Casual,,Cotton,,Solid,Solid,Regular,,Hand Wash,,NA
635,1694433,SASSAFRAS Mustard Yellow Peplum Jacket,1699,Mustard,sassafras,1953,4.238095238,Casual,,Fleece,,Solid,Solid,,,Hand Wash,,NA
636,13843004,SASSAFRAS Women Blue & Peach-Coloured Dyed Lapel Longline Shrug,1699,Blue,sassafras,48,4.208333333,Casual,,Polyester,,Printed,,Regular,,Machine Wash,,
637,14498202,SASSAFRAS White Solid Crop Top,899,White,sassafras,281,3.953736655,Casual,,Cotton Blend,,Solid,Solid,Regular,,Machine Wash,,
638,10604482,SASSAFRAS Blue Washed Midi Denim Pure Cotton A-Line Skirt,1999,Blue,sassafras,632,4.143987342,Casual,,,,Washed,Washed,Regular,,Machine Wash,,NA
639,16707822,SASSAFRAS Woman Blue High-Rise Slim Fit Jeans,2299,Blue,sassafras,191,4.308900524,Casual,,Cotton,,,,Regular,,Machine Wash,,NA
640,15940174,SASSAFRAS Fuchsia & Black Basic Jumpsuit with Sequinned Embellished,2299,Fuchsia,sassafras,65,4.307692308,Casual,,Polyester,,Colourblocked,,Regular,,Dry Clean,,
641,13626148,SASSAFRAS Burgundy Dobby Weave Maxi Flared Skirt,1699,Burgundy,sassafras,219,4.337899543,Casual,,Polyester,,Self Design,Self Design,Regular,,Machine Wash,NA,Comes with a belt
642,13633440,SASSAFRAS Women Red Pure Cotton Solid Capri Jumpsuit with Belt,2199,Red,sassafras,255,3.97254902,Casual,,Cotton,,Solid,,Regular,,Machine Wash,,
643,15940162,SASSAFRAS Red Cold Shoulder Sleeves Basic Jumpsuit,2199,Red,sassafras,66,4,Casual,,Polyester,,Solid,,Regular,,Machine Wash,,
644,13000338,SASSAFRAS Women Navy Blue Cotton Relaxed High-Rise Highly Distressed Stretchable Jeans,1999,Navy Blue,sassafras,395,4.273417722,Casual,,Cotton,,,,Regular,,Machine Wash,,NA
645,11364440,SASSAFRAS Women Blue & Off-White Printed Blouson Crop Top,1299,Blue,sassafras,1475,4.237966102,Casual,,Polyester,,Printed,Floral,,,Machine Wash,,
646,13633452,SASSAFRAS Women Blue Jogger High-Rise Clean Look Cropped Jeans,1999,Blue,sassafras,640,4.184375,Casual,,Cotton,,,,Regular,,Machine Wash,,NA
647,16990020,SASSAFRAS Women Enchanting Sea Green Solid Playsuit,1799,Sea Green,sassafras,17,4.294117647,Casual,,Polyester,,Solid,,Regular,,Machine Wash,,
648,1052287,SASSAFRAS Brown Crop Waistcoat,1399,Brown,sassafras,0,0,Casual,,Cotton Blend,,Solid,,,,Machine Wash,,NA
649,10604590,SASSAFRAS Women Black Solid Double-Breasted Casual Blazer,2599,Black,sassafras,22,4.090909091,Casual,,Polyester,,Solid,,Regular,,Dry Clean,,
650,8643083,SASSAFRAS Mustard Yellow & Green Floral Print Wrap Playsuit,1499,Mustard,sassafras,259,4.351351351,,,Polyester,,Printed,,,,Machine Wash,,
651,13645146,SASSAFRAS Women Mauve Wide Pure Cotton Trousers,1899,Mauve,sassafras,480,4.15625,Casual,,Cotton,,Solid,Solid,Regular,,Machine Wash,,NA
652,10856136,SASSAFRAS Women Yellow Embellished Sweatshirt,1899,Yellow,sassafras,1109,4.359783589,Casual,,Cotton,,Embroidered,Floral,,,Machine Wash,,
653,2196419,SASSAFRAS Grey Blazer,1799,Grey,sassafras,115,3.695652174,Party,,,,Solid,,,,Dry Clean,,
654,13843084,SASSAFRAS Blue Twisted Pure Cotton Fitted Crop Top,899,Blue,sassafras,1964,4.365580448,Casual,,Pure Cotton,,Solid,Solid,Regular,,Machine Wash,,
655,13645190,SASSAFRAS Women Peach-Coloured Cotton Side Slits Parallel Trousers,1899,Peach,sassafras,583,4.140651801,Casual,,,,Solid,Solid,Regular,,Machine Wash,,NA
656,17787830,SASSAFRAS Blue & Pink Floral Print Flared Skirt,1799,Blue,sassafras,19,4.526315789,Casual,,Polyester,,Printed,Floral,Regular,,Machine Wash,NA,NA
657,2280915,SASSAFRAS Peach-Coloured Satin Finish Shirt Style Top,1299,Peach,sassafras,4876,4.218211649,Casual,,Polyester,,Solid,Solid,Regular,,Hand Wash,NA,
658,17240086,SASSAFRAS Women Green & White Strapless Floral Printed Playsuit,1499,Green,sassafras,17,4.411764706,Casual,,Polyester,,Printed,,Regular,,Machine Wash,,
659,18776080,SASSAFRAS White Basic Jumpsuit with Lace Inserts,2299,White,sassafras,0,0,Casual,,Polyester,,Self Design,,Regular,,Machine Wash,,
660,13581118,SASSAFRAS Pink & Orange Floral Printed Puff Sleeves Blouson Top,1499,Pink,sassafras,742,4.283018868,Casual,,Polyester,,Printed,Floral,Regular,,Machine Wash,,
661,13000464,SASSAFRAS Women Blue Cotton Relaxed Fit High-Rise Clean Look Stretchable Cropped Jeans,1999,Blue,sassafras,327,4.165137615,Casual,,Cotton,,,,Regular,,Machine Wash,,NA
662,17787844,SASSAFRAS Beige & Black Colourblocked Lace Sleeveless Peplum Jumpsuit,2099,Beige,sassafras,5,4,Casual,,Polyester,,Colourblocked,,Regular,,Hand Wash,,
663,12737764,SASSAFRAS Women Khaki Solid Sleeveless Quilted Jacket,1999,Khaki,sassafras,243,3.942386831,Casual,,Polyester,,Solid,Solid,Regular,,Dry Clean,,NA
